Time (s),Signal strength,Ax (m/s²),Ay (m/s²),Az (m/s²),Bx (µT),By (µT),Bz (µT),ωx (rad/s),ωy (rad/s),ωz (rad/s),Voltage (mV)
0.009999999776482582,66,-0.22553882002830505,-0.0027626764494925737,9.790104866027832,-12.888433456420898,-4.408291339874268,63.739646911621094,-0.05499386414885521,5.090871334075928,-0.1575459986925125,-0.0031397175043821335
0.019999999552965164,66,-0.20645491778850555,-0.007571179419755936,9.776065826416016,-13.359904289245605,-3.73189377784729,63.970855712890625,-0.05274228751659393,5.053719997406006,-0.15079128742218018,-0.0031397175043821335
0.029999999329447746,66,-0.22080020606517792,-0.007506385445594788,9.818894386291504,-13.882917404174805,-2.817244291305542,64.88631439208984,-0.054690245538949966,4.840719223022461,-0.12975552678108215,-0.0036630036775022745
0.03999999910593033,66,-0.22080020606517792,-0.0031730385962873697,9.800350189208984,-14.313116073608398,-1.8933809995651245,65.808837890625,-0.05396927893161774,4.571364402770996,-0.11047784984111786,-0.0031397175043821335
0.05000000074505806,66,-0.22080020606517792,-0.0265676137059927,9.829030990600586,-14.716822624206543,-1.0648579597473145,65.8219223022461,-0.051818910986185074,4.145122051239014,-0.08581171184778214,-0.0036630036775022745
0.05999999865889549,66,-0.22067075967788696,-0.012660457752645016,9.83808708190918,-15.323822021484375,-0.5898571014404297,66.56610107421875,-0.05038950592279434,3.4058759212493896,-0.0516207180917263,-0.0036630036775022745
0.07000000029802322,66,-0.21612632274627686,-0.02175910957157612,9.823379516601562,-15.260377883911133,0.23490920662879944,67.44178771972656,-0.048340342938899994,2.416651487350464,-0.012534274719655514,-0.0031397175043821335
0.07999999821186066,66,-0.21993722021579742,-0.012055712752044201,9.803970336914062,-15.65976333618164,1.3671289682388306,68.53136444091797,-0.039410192519426346,1.3582667112350464,0.020063478499650955,-0.0031397175043821335
0.09000000357627869,66,-0.19745232164859772,-0.0033242248464375734,9.787866592407227,-16.17682647705078,2.5991971492767334,69.39678955078125,-0.013758053071796894,0.3901168704032898,0.015524253249168396,-0.0031397175043821335
0.10000000149011612,66,-0.2159752994775772,-0.017015401273965836,9.845544815063477,-16.49654769897461,3.8205490112304688,69.81147766113281,0.0004357961588539183,0.000544073642231524,0.0011034428607672453,-0.0031397175043821335
0.10999999940395355,66,-0.21621263027191162,-0.012401280924677849,9.790169715881348,-16.87592124938965,5.166384696960449,70.10914611816406,0.002118215663358569,-0.022568903863430023,-0.002944785403087735,-0.0031397175043821335
0.11999999731779099,66,-0.220023512840271,-0.011364576406776905,9.792503356933594,-17.55591583251953,6.120142936706543,71.21764373779297,0.00019580827211029828,-0.015194916166365147,0.0007737726555205882,-0.002616431098431349
0.12999999523162842,66,-0.2060449719429016,0.006638349499553442,9.832242012023926,-19.170209884643555,6.402011394500732,71.47747039794922,-0.0022331285290420055,-0.007946183905005455,0.001002236851491034,-0.0020931449253112078
0.14000000059604645,66,-0.20331282913684845,0.0008795339963398874,9.809492111206055,-21.644901275634766,6.050545692443848,72.1656265258789,-0.0011960206320509315,-0.008325454778969288,-0.0024262312799692154,-0.0015698587521910667
0.15000000596046448,66,-0.23012641072273254,-0.017555352300405502,9.80722427368164,-24.652687072753906,5.1857218742370605,73.23981475830078,-0.0007150429300963879,-0.011146187782287598,-0.00031393804238177836,-0.0020931449253112078
0.1599999964237213,66,-0.224589541554451,-0.021024776622653008,9.777405738830566,-27.667484283447266,4.106174468994141,73.90232849121094,-0.0034851734526455402,-0.01384066417813301,0.001963190268725157,-0.002616431098431349
0.17000000178813934,66,-0.2122506946325302,-0.008305512368679047,9.801300048828125,-29.791980743408203,4.027007102966309,74.49766540527344,-0.006647601258009672,-0.016850782558321953,0.0001294631219934672,-0.0020931449253112078
0.18000000715255737,66,-0.22368338704109192,-0.01762014627456665,9.818764686584473,-32.64604568481445,2.4254019260406494,75.15805053710938,-0.007419670466333628,-0.02137998677790165,-0.0032233516685664654,-0.0005232862313278019
0.1899999976158142,66,-0.20477992296218872,-0.022061482071876526,9.813092231750488,-37.03727722167969,-0.5805246233940125,75.73094177246094,-0.0030938778072595596,-0.01743396744132042,-0.0012874166714027524,-0.0015698587521910667
0.20000000298023224,66,-0.23966838419437408,-0.023357361555099487,9.800695419311523,-41.41816329956055,-3.477508068084717,76.25186157226562,0.002244973089545965,-0.008882586844265461,-0.003097095061093569,-0.002616431098431349
0.20999999344348907,66,-0.23300959169864655,-0.03519111126661301,9.812213897705078,-44.92717361450195,-5.00552225112915,76.81839752197266,-0.00010780875163618475,-0.005163026973605156,0.0011415202170610428,-0.0010465724626556039
0.2199999988079071,66,-0.21020109951496124,-0.02016085758805275,9.838001251220703,-49.10029602050781,-5.084689617156982,77.56257629394531,-0.002460590796545148,-0.008198196068406105,-0.004171779379248619,0.0010465724626556039
0.23000000417232513,66,-0.2034854292869568,-0.0032378328032791615,9.832155227661133,-54.09219741821289,-5.707505226135254,77.13866424560547,-0.004623987711966038,-0.017230553552508354,-0.0037930095568299294,-0.0036630036775022745
0.23999999463558197,66,-0.2202824056148529,-0.0070528266951441765,9.817599296569824,-54.90290832519531,-0.40202340483665466,76.63577270507812,-0.0034726476296782494,-0.01954575814306736,0.0031776586547493935,-0.0005232862313278019
0.25,66,-0.21813277900218964,-0.00274107838049531,9.804661750793457,-52.06028747558594,12.218083381652832,73.21137237548828,-0.004649038426578045,-0.018369369208812714,0.0020012676250189543,0.002616431098431349
0.25999999046325684,66,-0.23078738152980804,-0.003302626544609666,9.805785179138184,-46.87373352050781,29.457073211669922,66.05376434326172,-0.004687116015702486,-0.019469603896141052,-0.0037283780984580517,0.005232862196862698
0.27000001072883606,66,-0.19842319190502167,-0.008154326118528843,9.814323425292969,-41.03553009033203,45.87940216064453,56.03438186645508,-0.003599405288696289,-0.019558284431695938,-0.0009086469653993845,0.005756148602813482
0.2800000011920929,66,-0.21296265721321106,-0.010587047785520554,9.808879852294922,-36.02778625488281,56.0919189453125,43.97874450683594,-0.004497230052947998,-0.017484068870544434,0.003657634137198329,0.0031397175043821335
0.28999999165534973,67,-0.22437378764152527,0.003341707633808255,9.773979187011719,-33.25058364868164,60.14390182495117,33.59605026245117,-0.003700610948726535,-0.009212256409227848,0.0004711574874818325,0.0005232862313278019
0.30000001192092896,66,-0.21532805263996124,0.010453344322741032,9.804071426391602,-32.52579116821289,60.235721588134766,27.198074340820312,-0.0006524157361127436,-0.013839662075042725,0.0013810070231556892,-0.0036630036775022745
0.3100000023841858,66,-0.21850739419460297,-0.0012586690718308091,9.841200828552246,-31.294206619262695,59.877017974853516,24.25081443786621,0.002876757411286235,-0.01764790154993534,-0.0024633067660033703,-0.006802720949053764
0.3199999928474426,66,-0.2559397220611572,-0.022061482071876526,9.72187328338623,-26.110076904296875,62.85759735107422,23.4989070892334,0.0030671441927552223,-0.01666189730167389,-0.0033370826859027147,-0.007849293760955334
0.33000001311302185,66,-0.20703741908073425,-0.021348748356103897,9.812501907348633,-12.983713150024414,72.5951156616211,23.945411682128906,-0.001245621358975768,-0.016661398112773895,0.0001915895554702729,-0.008372579701244831
0.3400000035762787,66,-0.20968329906463623,-0.014294052496552467,9.835766792297363,4.270669937133789,82.56336975097656,24.030424118041992,-0.003460122272372246,-0.015637315809726715,0.001963190268725157,-0.0094191525131464
0.3499999940395355,66,-0.20754149556159973,-0.0001787685469025746,9.732536315917969,23.178916931152344,90.8797607421875,25.60828399658203,-0.0055087860673666,-0.014650309458374977,0.001963190268725157,-0.009942438453435898
0.36000001430511475,66,-0.23699308931827545,-0.013956337235867977,9.829145431518555,41.806251525878906,96.31071472167969,27.96544647216797,-0.007141103968024254,-0.01654716394841671,0.0013309051282703876,-0.0094191525131464
0.3700000047683716,66,-0.21840539574623108,-0.01886497624218464,9.785304069519043,59.18623352050781,97.82050323486328,31.22115707397461,-0.00365101033821702,-0.017749609425663948,-0.001590532949194312,-0.007849293760955334
0.3799999952316284,66,-0.2063254565000534,-0.004382527433335781,9.806209564208984,74.9667739868164,94.76873779296875,35.90217590332031,-0.0008412995957769454,-0.017104297876358032,-0.0031096204183995724,-0.0047095762565732
